group,day,mouse,post_antibiotic,yl32
Ciprofloxacin,0,Mouse 1,True,3523155121.0
Ciprofloxacin,4,Mouse 1,True,5103428392.0
Ciprofloxacin,9,Mouse 1,False,4332948934.0
Ciprofloxacin,14,Mouse 1,True,5916518609.0
Ciprofloxacin,18,Mouse 1,True,4234637452.0
Ciprofloxacin,23,Mouse 1,False,3574227680.0
Ciprofloxacin,30,Mouse 1,False,3813425172.0
Ciprofloxacin,37,Mouse 1,False,3456547761.0
Ciprofloxacin,44,Mouse 1,False,7307524272.0
Ciprofloxacin,49,Mouse 1,True,3224799789.0
Ciprofloxacin,53,Mouse 1,True,4924501946.0
Ciprofloxacin,58,Mouse 1,False,4787379647.0
Ciprofloxacin,63,Mouse 1,True,6678690725.0
Ciprofloxacin,67,Mouse 1,True,13407130707.0
Ciprofloxacin,72,Mouse 1,False,4599820628.0
Ciprofloxacin,79,Mouse 1,False,6121117073.0
Ciprofloxacin,0,Mouse 2,True,4319675724.0
Ciprofloxacin,4,Mouse 2,True,4256043240.0
Ciprofloxacin,9,Mouse 2,False,3816789901.0
Ciprofloxacin,14,Mouse 2,True,4393661660.0
Ciprofloxacin,18,Mouse 2,True,5214183730.0
Ciprofloxacin,23,Mouse 2,False,2061467191.0
Ciprofloxacin,30,Mouse 2,False,5720706667.0
Ciprofloxacin,37,Mouse 2,False,9602226807.0
Ciprofloxacin,44,Mouse 2,False,3362165000.0
Ciprofloxacin,49,Mouse 2,True,4823035000.0
Ciprofloxacin,53,Mouse 2,True,4596894354.0
Ciprofloxacin,58,Mouse 2,False,5281394972.0
Ciprofloxacin,63,Mouse 2,True,13822395104.0
Ciprofloxacin,67,Mouse 2,True,5694389508.0
Ciprofloxacin,72,Mouse 2,False,7184439098.0
Ciprofloxacin,79,Mouse 2,False,3730860000.0
Ciprofloxacin,0,Mouse 3,True,18599705612.0
Ciprofloxacin,4,Mouse 3,True,3733536480.0
Ciprofloxacin,9,Mouse 3,False,6451448182.0
Ciprofloxacin,14,Mouse 3,True,3661183102.0
Ciprofloxacin,18,Mouse 3,True,13512039794.0
Ciprofloxacin,23,Mouse 3,False,3905999756.0
Ciprofloxacin,30,Mouse 3,False,5059422319.0
Ciprofloxacin,37,Mouse 3,False,8770348621.0
Ciprofloxacin,44,Mouse 3,False,4477526627.0
Ciprofloxacin,49,Mouse 3,True,8422334286.0
Ciprofloxacin,53,Mouse 3,True,5481039504.0
Ciprofloxacin,58,Mouse 3,False,3191977398.0
Ciprofloxacin,63,Mouse 3,True,21161259512.0
Ciprofloxacin,67,Mouse 3,True,5068656410.0
Ciprofloxacin,72,Mouse 3,False,7918148544.0
Ciprofloxacin,79,Mouse 3,False,3933939241.0
Ciprofloxacin,0,Mouse 4,True,16003219880.0
Ciprofloxacin,4,Mouse 4,True,6790393320.0
Ciprofloxacin,9,Mouse 4,False,5346151276.0
Ciprofloxacin,14,Mouse 4,True,6650797756.0
Ciprofloxacin,18,Mouse 4,True,4169952199.0
Ciprofloxacin,23,Mouse 4,False,3685160708.0
Ciprofloxacin,30,Mouse 4,False,4103352822.0
Ciprofloxacin,37,Mouse 4,False,5380595108.0
Ciprofloxacin,44,Mouse 4,False,4908491904.0
Ciprofloxacin,49,Mouse 4,True,3991609692.0
Ciprofloxacin,53,Mouse 4,True,12117462701.0
Ciprofloxacin,58,Mouse 4,False,5728409978.0
Ciprofloxacin,63,Mouse 4,True,37791137705.0
Ciprofloxacin,67,Mouse 4,True,11070724737.0
Ciprofloxacin,72,Mouse 4,False,5531711429.0
Ciprofloxacin,79,Mouse 4,False,5987143776.0
Tetracyclin,0,Mouse 1,True,2187948818.0
Tetracyclin,4,Mouse 1,True,1900356.03
Tetracyclin,9,Mouse 1,False,1051718203.0
Tetracyclin,14,Mouse 1,True,7590506449.0
Tetracyclin,18,Mouse 1,True,18998087.25
Tetracyclin,23,Mouse 1,False,601057177.4
Tetracyclin,30,Mouse 1,False,9149087166.0
Tetracyclin,37,Mouse 1,False,4428358000.0
Tetracyclin,44,Mouse 1,False,5865794603.0
Tetracyclin,49,Mouse 1,True,17460768868.0
Tetracyclin,53,Mouse 1,True,5027558.4
Tetracyclin,58,Mouse 1,False,2366521633.0
Tetracyclin,63,Mouse 1,True,4185849639.0
Tetracyclin,67,Mouse 1,True,1297582.85
Tetracyclin,72,Mouse 1,False,3205499169.0
Tetracyclin,79,Mouse 1,False,4538959116.0
Tetracyclin,0,Mouse 2,True,6178992154.0
Tetracyclin,4,Mouse 2,True,7817814.33
Tetracyclin,9,Mouse 2,False,3437710578.0
Tetracyclin,14,Mouse 2,True,4913544412.0
Tetracyclin,18,Mouse 2,True,4716582.77
Tetracyclin,23,Mouse 2,False,1312798283.0
Tetracyclin,30,Mouse 2,False,10884506113.0
Tetracyclin,37,Mouse 2,False,5376940979.0
Tetracyclin,44,Mouse 2,False,12602880000.0
Tetracyclin,49,Mouse 2,True,22631330000.0
Tetracyclin,53,Mouse 2,True,8278654.17
Tetracyclin,58,Mouse 2,False,4897903116.0
Tetracyclin,63,Mouse 2,True,15522247500.0
Tetracyclin,67,Mouse 2,True,3122846.99
Tetracyclin,72,Mouse 2,False,2442500825.0
Tetracyclin,79,Mouse 2,False,4492244516.0
Tetracyclin,0,Mouse 3,True,5152549108.0
Tetracyclin,4,Mouse 3,True,8095234.32
Tetracyclin,9,Mouse 3,False,1884456530.0
Tetracyclin,14,Mouse 3,True,6258784928.0
Tetracyclin,18,Mouse 3,True,5130276.27
Tetracyclin,23,Mouse 3,False,653957853.6
Tetracyclin,30,Mouse 3,False,7342693107.0
Tetracyclin,37,Mouse 3,False,7849303415.0
Tetracyclin,44,Mouse 3,False,5788779947.0
Tetracyclin,49,Mouse 3,True,7965647989.0
Tetracyclin,53,Mouse 3,True,23317628.39
Tetracyclin,58,Mouse 3,False,7207496241.0
Tetracyclin,63,Mouse 3,True,11185475642.0
Tetracyclin,67,Mouse 3,True,8691756.87
Tetracyclin,72,Mouse 3,False,2410145891.0
Tetracyclin,79,Mouse 3,False,3895810811.0
Tetracyclin,0,Mouse 4,True,7287759104.0
Tetracyclin,4,Mouse 4,True,2315692.87
Tetracyclin,9,Mouse 4,False,3701297021.0
Tetracyclin,14,Mouse 4,True,6477946429.0
Tetracyclin,18,Mouse 4,True,3405479.53
Tetracyclin,23,Mouse 4,False,1427968007.0
Tetracyclin,30,Mouse 4,False,11887906354.0
Tetracyclin,37,Mouse 4,False,3559459091.0
Tetracyclin,44,Mouse 4,False,4938913681.0
Tetracyclin,49,Mouse 4,True,19039730201.0
Tetracyclin,53,Mouse 4,True,12951903.29
Tetracyclin,58,Mouse 4,False,3204049724.0
Tetracyclin,63,Mouse 4,True,25923476336.0
Tetracyclin,67,Mouse 4,True,1239257.15
Tetracyclin,72,Mouse 4,False,1682753166.0
Tetracyclin,79,Mouse 4,False,4326380581.0
Vancomycin,0,Mouse 1,True,2950416122.0
Vancomycin,4,Mouse 1,True,84479544.0
Vancomycin,9,Mouse 1,False,44987.05
Vancomycin,14,Mouse 1,True,983870524.4
Vancomycin,18,Mouse 1,True,28384745.88
Vancomycin,23,Mouse 1,False,102965.27
Vancomycin,30,Mouse 1,False,1291851396.0
Vancomycin,37,Mouse 1,False,7859222109.0
Vancomycin,44,Mouse 1,False,5268895160.0
Vancomycin,49,Mouse 1,True,3652726338.0
Vancomycin,53,Mouse 1,True,104170445.3
Vancomycin,58,Mouse 1,False,319991.41
Vancomycin,63,Mouse 1,True,6586898282.0
Vancomycin,67,Mouse 1,True,77128738.01
Vancomycin,72,Mouse 1,False,451426.43
Vancomycin,79,Mouse 1,False,5173735357.0
Vancomycin,0,Mouse 2,True,3852046906.0
Vancomycin,4,Mouse 2,True,18678036.32
Vancomycin,9,Mouse 2,False,36301.01
Vancomycin,14,Mouse 2,True,4847357664.0
Vancomycin,18,Mouse 2,True,20123258.22
Vancomycin,23,Mouse 2,False,99602.6
Vancomycin,30,Mouse 2,False,2111677923.0
Vancomycin,37,Mouse 2,False,5346874973.0
Vancomycin,44,Mouse 2,False,4700827208.0
Vancomycin,49,Mouse 2,True,13888314435.0
Vancomycin,53,Mouse 2,True,27788812.8
Vancomycin,58,Mouse 2,False,177278.87
Vancomycin,63,Mouse 2,True,4134648404.0
Vancomycin,67,Mouse 2,True,76697027.27
Vancomycin,72,Mouse 2,False,166837.51
Vancomycin,79,Mouse 2,False,1898006027.0
Vancomycin,0,Mouse 3,True,3558720000.0
Vancomycin,4,Mouse 3,True,36711819.79
Vancomycin,9,Mouse 3,False,33421.73
Vancomycin,14,Mouse 3,True,964641518.3
Vancomycin,18,Mouse 3,True,39049052.19
Vancomycin,23,Mouse 3,False,64663.74
Vancomycin,30,Mouse 3,False,2124230277.0
Vancomycin,37,Mouse 3,False,5442656928.0
Vancomycin,44,Mouse 3,False,5866574775.0
Vancomycin,49,Mouse 3,True,5199262091.0
Vancomycin,53,Mouse 3,True,27925610.75
Vancomycin,58,Mouse 3,False,315420.46
Vancomycin,63,Mouse 3,True,6755409865.0
Vancomycin,67,Mouse 3,True,133286798.1
Vancomycin,72,Mouse 3,False,128805.11
Vancomycin,79,Mouse 3,False,8385320204.0
Vancomycin,0,Mouse 4,True,1937557093.0
Vancomycin,4,Mouse 4,True,29740814.52
Vancomycin,9,Mouse 4,False,57029.57
Vancomycin,14,Mouse 4,True,2217711053.0
Vancomycin,18,Mouse 4,True,20002188.33
Vancomycin,23,Mouse 4,False,208199.46
Vancomycin,30,Mouse 4,False,2779409229.0
Vancomycin,37,Mouse 4,False,13743997756.0
Vancomycin,44,Mouse 4,False,4376801017.0
Vancomycin,49,Mouse 4,True,3490472686.0
Vancomycin,53,Mouse 4,True,65801919.33
Vancomycin,58,Mouse 4,False,220164.07
Vancomycin,63,Mouse 4,True,2252180876.0
Vancomycin,67,Mouse 4,True,101435545.0
Vancomycin,72,Mouse 4,False,675220.4
Vancomycin,79,Mouse 4,False,2967158262.0
water,0,Mouse 1,True,16276780983.0
water,4,Mouse 1,True,4759508636.0
water,9,Mouse 1,False,5129510868.0
water,14,Mouse 1,True,21001672117.0
water,18,Mouse 1,True,5117220547.0
water,23,Mouse 1,False,2936664313.0
water,30,Mouse 1,False,4972040523.0
water,37,Mouse 1,False,3817576094.0
water,44,Mouse 1,False,9792226015.0
water,49,Mouse 1,True,3667897908.0
water,53,Mouse 1,True,20737362981.0
water,58,Mouse 1,False,3989095880.0
water,63,Mouse 1,True,21283472903.0
water,67,Mouse 1,True,6082991524.0
water,72,Mouse 1,False,3932834779.0
water,79,Mouse 1,False,5772505831.0
water,0,Mouse 2,True,32784070073.0
water,4,Mouse 2,True,8257221036.0
water,9,Mouse 2,False,30911101437.0
water,0,Mouse 3,True,11736836490.0
water,4,Mouse 3,True,14677658882.0
water,9,Mouse 3,False,3744313815.0
water,14,Mouse 3,True,3517418894.0
water,18,Mouse 3,True,5528998528.0
water,23,Mouse 3,False,4944815509.0
water,30,Mouse 3,False,5765050113.0
water,37,Mouse 3,False,2965332604.0
water,44,Mouse 3,False,4247066019.0
water,49,Mouse 3,True,3812946337.0
water,53,Mouse 3,True,17360293548.0
water,58,Mouse 3,False,6435428790.0
water,63,Mouse 3,True,5768391133.0
water,67,Mouse 3,True,7864291783.0
water,72,Mouse 3,False,6670981518.0
water,79,Mouse 3,False,5160254659.0
water,0,Mouse 4,True,5045346600.0
water,4,Mouse 4,True,9130309480.0
water,9,Mouse 4,False,5568676982.0
water,14,Mouse 4,True,9609458405.0
water,18,Mouse 4,True,31871295676.0
water,23,Mouse 4,False,3781378869.0
water,30,Mouse 4,False,3336627006.0
water,37,Mouse 4,False,6954137206.0
water,44,Mouse 4,False,5357945522.0
water,49,Mouse 4,True,7570725719.0
water,53,Mouse 4,True,22832590476.0
water,58,Mouse 4,False,6483356514.0
water,63,Mouse 4,True,17559789700.0
water,67,Mouse 4,True,14587546364.0
water,72,Mouse 4,False,6571077358.0
water,79,Mouse 4,False,5677965348.0
