Mouse replicate,Mouse,timepoint after AB application,Day,Group,KB1,log10 KB1,YL2,log10 YL2,KB18,log10 KB18,YL27,log10 YL27,YL31,log10 YL31,YL32,log10 YL32,YL44,log10 YL44,YL45,log10 YL45,I46,log10 I46,I48,log10 I48,I49,log10 I49,YL58,log10 YL58,universal,log10 universal
A,1681,TRUE,0,water,25145275.44,7.400456397,115496.67,5.062569463,8249.76,3.916441314,30119882092,10.47885327,21284386688,10.32806114,1.63E+10,1.02E+01,2.47E+11,11.39312752,10988683360,10.04094566,5.92E+09,9.77E+00,4.50E+11,11.65339584,7185542948,9.85645959,1.87E+10,1.03E+01,1.51E+14,14.17841862
B,1682,TRUE,0,water,40467836.5,7.607109987,265611.68,5.424247169,18972.26,4.278119068,36521605839,10.56254987,33713710949,10.52780656,3.28E+10,1.05E+01,2.67E+11,11.42579498,14041371679,10.14740954,9.21E+09,9.96E+00,6.08E+11,11.78421776,20167515328,10.3046524,2.98E+10,1.05E+01,1.21E+14,14.08416502
C,1683,TRUE,0,water,93063434.54,7.968779076,201342.62,5.303935716,14381.62,4.157807809,44539863510,10.64874888,31912805014,10.50396498,1.17E+10,1.01E+01,3.59E+11,11.55487785,16495713092,10.21737109,1.59E+10,1.02E+01,7.26E+11,1.19E+01,6.60E+11,11.8198097,5.59E+10,1.07E+01,1.69E+14,14.22895186
D,1684,TRUE,0,water,22423762.67,7.350708488,119275.33,5.076550627,8519.67,3.930422773,14798661000,10.17022242,10632544000,10.02663719,5.05E+09,9.70E+00,1.34E+11,11.12825383,6491134033,9.812320577,6.09E+09,9.78E+00,2.59E+11,11.41258149,10649583333,10.02733262,1.85E+10,1.03E+01,5.89E+13,13.77034013
A,1686,TRUE,0,Ciprofloxacin,58520384.27,7.767307169,149150.81,5.173625616,10653.63,4.02749761,21456408871,10.33155704,13956254032,10.14476887,3.52E+09,9.55E+00,2.29E+11,11.36013881,7647174919,9.883501024,1.26E+10,1.01E+01,3.00E+11,11.47759293,33292590726,10.52234759,3.55E+10,1.06E+01,5.79E+13,13.76301672
B,1687,TRUE,0,Ciprofloxacin,36561379.06,7.563022569,155864.59,5.192747461,11133.18,4.046619231,19883868151,10.29850087,14462007127,10.16022857,4.32E+09,9.64E+00,1.85E+11,11.26672782,7434740846,9.871265835,1.22E+10,1.01E+01,3.16E+11,11.50024334,15040932739,10.17727477,2.88E+10,1.05E+01,6.47E+13,13.81116934
C,1688,TRUE,0,Ciprofloxacin,75281827.34,7.876690152,264146.76,5.421845288,18867.63,4.275717351,48376592806,10.68463528,19641198561,10.29316799,1.86E+10,1.03E+01,2.24E+11,11.35053293,12113015827,10.08325228,1.75E+10,1.02E+01,5.25E+11,11.72023044,25169412950,10.40087309,4.03E+10,1.06E+01,1.13E+14,14.05357779
D,1689,TRUE,0,Ciprofloxacin,48226128.31,7.683282397,216468.67,5.335395049,15462.05,4.189267073,47483950000,10.67654684,17920513855,10.25335046,1.60E+10,1.02E+01,2.25E+11,11.35242758,8573705723,9.933168573,1.21E+10,1.01E+01,4.32E+11,11.6350271,5407078253,9.732962655,2.42E+10,1.04E+01,8.33E+13,13.92069453
A,1691,TRUE,0,Tetracyclin,38272199.64,7.582883423,135237.45,5.131096973,9659.82,3.984969034,32283112364,10.5089754,8508367855,9.929846258,2.19E+09,9.34E+00,1.19E+11,11.0766368,8203117600,9.913978938,7.39E+09,9.87E+00,2.31E+11,11.36354805,15281832364,10.18417543,1.56E+10,1.02E+01,3.73E+13,13.57144328
B,1692,TRUE,0,Tetracyclin,59379994.86,7.773640156,209558.84,5.321305986,14968.49,4.175177992,44980308682,10.65302243,11706855048,10.06844024,6.18E+09,9.79E+00,2.23E+11,11.34865527,9368777106,9.971682907,1.14E+10,1.01E+01,3.29E+11,11.51700841,16300684244,10.21220583,2.36E+10,1.04E+01,6.14E+13,13.78849079
C,1693,TRUE,0,Tetracyclin,91980684.92,7.963696639,219524.31,5.341482621,15680.31,4.195354644,31078369846,10.49245823,22563962769,10.35341537,5.15E+09,9.71E+00,3.71E+11,11.56881869,14466651877,10.16036803,1.75E+10,1.02E+01,5.41E+11,1.17E+01,2.12E+11,11.3269725,3.75E+10,1.06E+01,9.57E+13,13.98082661
D,1694,TRUE,0,Tetracyclin,59203766.04,7.772349334,259747.01,5.414550557,18553.36,4.268422571,34193839179,10.53394786,12718327052,10.10442999,7.29E+09,9.86E+00,2.43E+11,11.38536136,9491898060,9.977353065,1.15E+10,1.01E+01,3.92E+11,11.59332152,10590256866,10.02490649,2.90E+10,1.05E+01,8.31E+13,13.91970031
A,1696,TRUE,0,Vancomycin,41097151.87,7.613811725,162301.87,5.210323524,11592.99,4.064195461,15615758411,10.19356308,8622866449,9.93565166,2.95E+09,9.47E+00,1.42E+11,11.15126563,7652533131,9.883805219,7.88E+09,9.90E+00,1.95E+11,11.29027953,22919342523,10.36020216,1.85E+10,1.03E+01,4.16E+13,13.61904844
B,1697,TRUE,0,Vancomycin,77573925.73,7.88971577,226115.96,5.354331217,16151.14,4.208203182,26116393485,10.4169132,15056092769,10.17771228,3.85E+09,9.59E+00,2.45E+11,11.38918913,14545716743,10.16273513,1.56E+10,1.02E+01,3.95E+11,11.59630454,43139695114,10.63487707,3.69E+10,1.06E+01,7.85E+13,13.89475014
C,1698,TRUE,0,Vancomycin,63612120,7.80353987,283080,5.451909187,20220,4.305781151,41451000000,10.61753501,12738600000,10.1051217,3.56E+09,9.55E+00,1.71E+11,11.23402349,11102802000,10.04543259,1.05E+10,1.00E+01,2.92E+11,11.46534864,19053306000,10.27997034,2.76E+10,1.04E+01,5.31E+13,13.72491046
D,1699,TRUE,0,Vancomycin,30829560.12,7.488967328,98317.5,4.992630827,7022.68,3.84650288,11812145814,10.0723288,8090126027,9.907955287,1.94E+09,9.29E+00,1.22E+11,11.08530128,6729130868,9.827958975,6.42E+09,9.81E+00,1.88E+11,11.27479958,14789761644,10.16996117,1.47E+10,1.02E+01,3.31E+13,13.52044423
A,1681,TRUE,4,water,54670427.27,7.737752468,136627.27,5.135537391,9759.09,3.989409323,18864322727,10.27564122,11320545455,10.05386735,4.76E+09,9.68E+00,2.23E+11,11.34772412,8460155909,9.927378367,8.91E+09,9.95E+00,3.00E+11,11.47668964,24348931818,10.38647991,2.61E+10,1.04E+01,5.19E+13,13.71556549
B,1682,TRUE,4,water,47761239.05,7.679075585,228055.03,5.358039656,16289.64,4.211911487,33051689645,10.51919367,14110090473,10.1495298,8.26E+09,9.92E+00,1.96E+11,11.2921763,8420117485,9.925318151,8.76E+09,9.94E+00,3.89E+11,11.59031006,16859782544,10.22685197,2.84E+10,1.05E+01,7.34E+13,13.86589541
C,1683,TRUE,4,water,63017519.88,7.799461307,222004.35,5.346361484,15857.45,4.200233351,28717848137,10.45815189,20884266149,10.31981922,1.47E+10,1.02E+01,2.25E+11,11.35221533,15186683137,10.18146293,1.10E+10,1.00E+01,5.69E+11,11.7552069,30367023292,10.48240222,3.62E+10,1.06E+01,1.10E+14,14.04115573
D,1684,TRUE,4,water,68589055.66,7.836254823,223469.11,5.349217499,15962.08,4.203089483,42187776147,10.62518663,20782627523,10.31770045,9.13E+09,9.96E+00,2.57E+11,11.41018484,13366645382,10.12602243,1.37E+10,1.01E+01,5.17E+11,11.71350062,8750411988,9.942028501,3.85E+10,1.06E+01,8.91E+13,13.95003511
A,1686,TRUE,4,Ciprofloxacin,242098.12,5.383991417,135574.95,5.132179453,9683.92,3.986051193,13538126931,10.13155858,9993810438,9.999731108,5.10E+09,9.71E+00,1.21E+11,11.08157052,3808687641,9.580775357,2.76E+09,9.44E+00,1.74E+11,11.24035702,5453018079,9.736636938,1.34E+10,1.01E+01,3.44E+13,13.5370127
B,1687,TRUE,4,Ciprofloxacin,4337162.23,6.637205667,189277.65,5.277099335,13519.83,4.130971231,24416817318,10.38768905,14763656983,10.16919395,4.26E+09,9.63E+00,1.89E+11,11.27554629,6868074860,9.83683502,3.60E+09,9.56E+00,3.65E+11,11.56217386,8426911536,9.925668435,1.78E+10,1.02E+01,7.47E+13,13.87346069
C,1688,TRUE,4,Ciprofloxacin,262039.34,5.418366497,146742.03,5.166554523,10481.57,4.020426339,20449549896,10.31068375,10513018219,10.02172742,3.73E+09,9.57E+00,2.18E+11,11.33890649,7504806625,9.875339506,6.36E+09,9.80E+00,3.16E+11,11.49913699,8136845507,9.91045607,2.84E+10,1.05E+01,6.46E+13,13.81000724
D,1689,TRUE,4,Ciprofloxacin,488798.83,5.689130158,273727.34,5.437318177,19551.95,4.291190078,42329978516,10.62664805,20412239063,10.30989065,6.79E+09,9.83E+00,3.46E+11,11.5394086,12096793398,10.08267026,9.94E+09,1.00E+01,5.23E+11,11.71818935,11705754336,10.06839941,4.56E+10,1.07E+01,9.60E+13,13.98218301
A,1691,TRUE,4,Tetracyclin,9737133.87,6.988431141,175263.4,5.243691232,12518.81,4.097563048,20393148711,10.30948429,23961010.82,7.379505135,1.90E+06,6.28E+00,29919966495,10.4759611,25037.63,4.398593217,1.53E+08,8.18E+00,3.66E+11,11.56368869,815100007.7,8.911210897,4.36E+08,8.64E+00,4.08E+13,13.61091449
B,1692,TRUE,4,Tetracyclin,9124604.41,6.960214045,178314.44,5.251186514,12736.75,4.105058624,15678933596,10.19531652,33217432.02,7.521366055,7.82E+06,6.89E+00,70026626247,10.8452632,197419.55,5.295390158,1.31E+08,8.12E+00,3.77E+11,11.57679039,3903812467,9.591488947,4.20E+08,8.62E+00,4.75E+13,13.67711673
C,1693,TRUE,4,Tetracyclin,10383288.26,7.016334911,248701.52,5.39567844,17764.39,4.249550299,24497099242,10.38911466,26913056.82,7.429963028,8.10E+06,6.91E+00,56188778030,10.74964959,35528.79,4.550580417,2.40E+08,8.38E+00,4.30E+11,11.63318658,2142385909,9.330897703,8.27E+08,8.92E+00,4.69E+13,13.67082545
D,1694,TRUE,4,Tetracyclin,1161848.87,6.06514964,80048.64,4.903353958,5717.76,3.757225922,8925423643,9.950628839,1154987.56,6.062577307,2.32E+06,6.36E+00,9337102376,9.970212121,11435.52,4.058255918,5.92E+07,7.77E+00,1.83E+11,11.26183362,892542364.3,8.950628839,2.36E+08,8.37E+00,2.04E+13,13.30867537
A,1696,TRUE,4,Vancomycin,5441004,6.735679045,212184,5.326712632,15156,4.180584597,1432242,6.156016405,5171227.2,6.713593619,8.45E+07,7.93E+00,1.89E+11,11.27749461,27826416000,10.44445727,2.14E+08,8.33E+00,4.52E+11,1.17E+01,4.72E+11,11.67362444,8.59E+08,8.93E+00,6.45E+13,13.80938192
B,1697,TRUE,4,Vancomycin,838370.08,5.923435771,260710.38,5.416158323,18622.17,4.270030287,891443.27,5.950093711,1179900.68,6.071845451,1.87E+07,7.27E+00,92887383019,10.96795673,4499116226,9.653127212,7.34E+07,7.87E+00,3.05E+11,11.48407908,38156825943,10.58157224,1.88E+08,8.27E+00,3.98E+13,13.59983506
C,1698,TRUE,4,Vancomycin,2597901.92,6.414622751,94029.54,4.973264312,6716.4,3.827136553,546244.48,5.737387061,3630211.96,6.559931983,3.67E+07,7.56E+00,36604357459,10.56353279,2679170310,9.428000322,4.70E+07,7.67E+00,1.31E+11,11.11783783,19974561300,10.30047725,2.86E+08,8.46E+00,1.40E+13,13.14686571
D,1699,TRUE,4,Vancomycin,1231187.3,6.090324127,120199.6,5.079903022,8585.69,3.933775204,1634714.52,6.21344192,2562827.12,6.408719311,2.97E+07,7.47E+00,44980406250,10.65302337,2759439315,9.440820848,8.86E+07,7.95E+00,1.91E+11,11.28051919,18914265121,10.27678947,2.36E+08,8.37E+00,2.11E+13,13.3234728
A,1681,FALSE,9,water,9478976.69,6.976761455,285880.38,5.456184351,20420.03,4.310056376,38736791866,10.58812365,12006976077,10.07943365,5.13E+09,9.71E+00,2.36E+11,11.3733902,8466143336,9.927685617,9.73E+08,8.99E+00,3.93E+11,11.59493811,1779401183,9.250273875,5.21E+09,9.72E+00,6.09E+13,13.78427272
B,1682,FALSE,9,water,30223661.3,7.480347074,331867.65,5.52096492,23704.83,4.374836845,83346190684,10.92088576,51249847627,10.70969258,3.09E+10,1.05E+01,3.79E+11,11.57895651,21950674793,10.34144788,7.79E+09,9.89E+00,1.03E+12,12.01122355,9503267305,9.977872945,2.46E+10,1.04E+01,1.52E+14,14.18094836
C,1683,FALSE,9,water,15944685.62,7.202615961,192934.83,5.285410637,13781.06,4.139282624,29601715402,10.47131688,10782300805,10.03271144,3.74E+09,9.57E+00,1.82E+11,11.25919715,9361473590,9.971344216,2.47E+09,9.39E+00,3.19E+11,11.50364635,5891402856,9.770218721,8.74E+09,9.94E+00,3.83E+13,13.5834833
D,1684,FALSE,9,water,31220297.48,7.494437037,531797.26,5.725746095,37985.52,4.579618076,67614222561,10.83003806,29081712805,10.46361998,5.57E+09,9.75E+00,4.47E+11,11.65002567,14293950534,10.15515227,3.86E+09,9.59E+00,6.73E+11,11.82783692,4087241768,9.611430328,1.25E+10,1.01E+01,9.51E+13,13.97825221
A,1686,FALSE,9,Ciprofloxacin,24788550.72,7.394251136,157031.54,5.19598689,11216.54,4.049858909,37093093777,10.56929306,12338192668,10.09125155,4.33E+09,9.64E+00,1.89E+11,11.27568443,12192377664,10.08608841,4.47E+09,9.65E+00,3.02E+11,11.4799336,6825263853,9.834119445,1.32E+10,1.01E+01,8.07E+13,13.90670829
B,1687,FALSE,9,Ciprofloxacin,30534319.21,7.484788241,175773.22,5.244952709,12555.23,4.098824673,34162780658,10.53355321,8432092426,9.925935358,3.82E+09,9.58E+00,1.46E+11,11.16290776,8183498873,9.912939027,2.31E+09,9.36E+00,2.27E+11,11.35650389,8222420086,9.914999661,9.61E+09,9.98E+00,5.43E+13,13.7345094
C,1688,FALSE,9,Ciprofloxacin,74984996.97,7.874974378,225518.79,5.353182733,16108.48,4.207054562,36211873939,10.558851,10499510424,10.02116905,6.45E+09,9.81E+00,2.09E+11,11.31932471,8878996848,9.948363902,5.05E+09,9.70E+00,3.61E+11,11.55769002,13063981212,10.11607555,1.72E+10,1.02E+01,7.11E+13,13.85168998
D,1689,FALSE,9,Ciprofloxacin,76033536.4,7.88100519,193751.28,5.28724458,13839.38,4.141116634,43248052646,10.63596656,11946150094,10.07722797,5.35E+09,9.73E+00,1.97E+11,11.29340455,6399327854,9.806134361,4.47E+09,9.65E+00,2.87E+11,11.45729588,7495406500,9.874795191,1.68E+10,1.02E+01,5.77E+13,13.76146098
A,1691,FALSE,9,Tetracyclin,145510917.1,8.162895578,199135.17,5.299147969,14223.94,4.153019912,2645653.04,6.422532889,398270349.9,8.600177976,1.05E+09,9.02E+00,37224053775,10.57082367,181213009.2,8.258189372,6.64E+09,9.82E+00,90549608840,10.95688658,7837391529,9.894171543,1.68E+10,1.02E+01,1.80E+13,13.25407897
B,1692,FALSE,9,Tetracyclin,177273458.8,8.248643718,147903.96,5.169979802,10564.57,4.023851825,52157274.5,7.717314889,4270198572,9.630448071,3.44E+09,9.54E+00,1.38E+11,11.13979411,1427273199,9.154507111,8.07E+09,9.91E+00,2.82E+11,11.45019982,5526325762,9.742436482,1.94E+10,1.03E+01,4.37E+13,13.64022198
C,1693,FALSE,9,Tetracyclin,71985990.03,7.857247982,174602.19,5.242049687,12471.59,4.095921825,16387663.01,7.214517025,3180254237,9.50246184,1.88E+09,9.28E+00,71225223330,10.85263382,1741033300,9.240807078,3.26E+09,9.51E+00,1.76E+11,11.2451399,2026632602,9.306775025,1.01E+10,1.00E+01,2.87E+13,13.45746102
D,1694,FALSE,9,Tetracyclin,205900527.7,8.31365746,296442.55,5.47194054,21174.47,4.325812549,8495196.6,6.929173434,4383114894,9.641782855,3.70E+09,9.57E+00,1.24E+11,11.09400619,1310911319,9.117573313,1.09E+10,1.00E+01,3.43E+11,11.53559536,7402594043,9.869383933,2.13E+10,1.03E+01,5.72E+13,13.75765865
A,1696,FALSE,9,Vancomycin,960498.45,5.982496668,154936.95,5.190155002,11066.93,4.044027163,22277720.66,7.347870754,9797548982,9.991117443,4.50E+04,4.65E+00,39796663434,10.59984666,229085354,8.359997325,1.74E+10,1.02E+01,31109127061,10.49288782,13158574200,10.11920883,1.84E+10,1.03E+01,1.04E+13,13.01548969
B,1697,FALSE,9,Vancomycin,234030.84,5.369273091,100596.61,5.002583346,7185.47,3.856455181,588202.78,5.769527073,5276292454,9.72232886,3.63E+04,4.56E+00,31558595205,10.49911766,132571967.6,8.122451702,7.50E+09,9.88E+00,35431564880,10.54939033,3708422355,9.56918919,8.07E+09,9.91E+00,6.58E+12,12.81854061
C,1698,FALSE,9,Vancomycin,189896.19,5.278516251,106341.86,5.026704252,7595.85,3.88057638,10975999.52,7.040444079,5709798503,9.756620782,3.34E+04,4.52E+00,26555082569,10.42414766,98518140.99,7.993516208,4.56E+09,9.66E+00,22711583776,10.35624742,3149997924,9.498310268,7.62E+09,9.88E+00,5.35E+12,12.72839518
D,1699,FALSE,9,Vancomycin,943748.33,5.974856196,187597.28,5.273226537,13399.81,4.12709864,3667526.88,6.564373306,13788400291,10.13951388,5.70E+04,4.76E+00,77370479379,10.88857529,665434362,8.823105223,1.07E+10,1.00E+01,73229939350,10.86468867,5327762834,9.726544884,1.54E+10,1.02E+01,1.68E+13,13.22643492
A,1681,TRUE,14,water,111195914.8,8.046088832,229168.67,5.360155244,16369.19,4.21402719,34653577453,10.53974808,24619263339,10.39127505,2.10E+10,1.03E+01,2.28E+11,11.35860102,13697739071,10.13664889,1.03E+10,1.00E+01,5.21E+11,11.71713687,36847049053,10.56640271,5.41E+10,1.07E+01,1.15E+14,14.05924904
C,1683,TRUE,14,water,39771588.73,7.59957294,380849.69,5.580753606,27203.55,4.434625582,58596444676,10.76787127,10840614301,10.03505389,3.52E+09,9.55E+00,2.76E+11,11.44023509,9173036743,9.962513133,2.30E+09,9.36E+00,4.49E+11,11.65210994,19398850835,10.287776,1.49E+10,1.02E+01,7.75E+13,13.88947034
D,1684,TRUE,14,water,21060196.72,7.323462424,208222.28,5.318527198,14873.02,4.172399162,47638283968,10.67795611,14464012226,10.16028878,9.61E+09,9.98E+00,1.77E+11,11.2468505,9016024896,9.955015102,1.58E+09,9.20E+00,3.77E+11,11.5762054,2510565824,9.399771613,9.14E+09,9.96E+00,6.11E+13,13.78581796
A,1686,TRUE,14,Ciprofloxacin,89588080.93,7.952250234,185263.39,5.267789607,13233.1,4.12E+00,34816283741,10.54178241,16475208384,10.21683092,5.92E+09,9.77E+00,2.03E+11,11.30720284,9763380519,9.989600216,5.05E+09,9.70E+00,2.32E+11,11.36469917,17997014781,10.25520047,1.82E+10,1.03E+01,4.52E+13,13.65492508
B,1687,TRUE,14,Ciprofloxacin,77473810.78,7.889154919,176048.26,5.245631737,12574.88,4.099503849,44162964366,10.64505822,13027571493,10.11486347,4.39E+09,9.64E+00,2.82E+11,11.44994561,9587085431,9.981686597,4.30E+09,9.63E+00,2.74E+11,11.43716212,11849305616,10.0736929,1.67E+10,1.02E+01,5.63E+13,13.75039344
C,1688,TRUE,14,Ciprofloxacin,40752601.91,7.610155342,173047.14,5.238164426,12360.51,4.09203639,34967883170,10.54366934,9443429743,9.975129754,3.66E+09,9.56E+00,1.48E+11,11.17049347,8078829424,9.907348439,2.36E+09,9.37E+00,2.31E+11,11.36387887,5143208267,9.711234111,1.09E+10,1.00E+01,4.09E+13,13.61120801
D,1689,TRUE,14,Ciprofloxacin,105139820.5,8.021767231,155237.03,5.190995325,11088.36,4.044867318,26101997195,10.41667374,15423907433,10.18819441,6.65E+09,9.82E+00,2.25E+11,11.35129178,9027033100,9.955545035,6.95E+09,9.84E+00,3.78E+11,11.57711249,2747695372,9.438968582,2.23E+10,1.03E+01,5.92E+13,13.77224614
A,1691,TRUE,14,Tetracyclin,112994362.7,8.053056777,277822.46,5.443767352,19844.46,4.297639286,69197636571,10.84009126,25242154780,10.40212643,7.59E+09,9.88E+00,3.31E+11,11.51983587,11863018968,10.07419522,1.02E+10,1.00E+01,4.51E+11,11.65404749,3782354325,9.57776221,3.58E+10,1.06E+01,9.49E+13,13.97743047
B,1692,TRUE,14,Tetracyclin,118574103.1,8.073989848,291234.64,5.46424303,20802.47,4.318114904,47096801649,10.67299142,15112997526,10.17935061,4.91E+09,9.69E+00,2.10E+11,11.32157565,8805687340,9.944763261,8.53E+09,9.93E+00,2.73E+11,11.43571699,12138243711,10.08415585,2.68E+10,1.04E+01,6.10E+13,13.78498226
C,1693,TRUE,14,Tetracyclin,97657493.65,7.989705574,204487.72,5.310667233,14606.27,4.164539324,38881879763,10.58974725,20156646909,10.30441829,6.26E+09,9.80E+00,2.22E+11,11.34552468,7224259102,9.858793314,1.01E+10,1.00E+01,2.98E+11,11.47480755,10339775614,10.01451111,2.80E+10,1.04E+01,5.99E+13,13.77774644
D,1694,TRUE,14,Tetracyclin,60880971.64,7.784481575,136789.22,5.136051873,9770.66,3.989923901,32653539916,10.51393027,23713387605,10.3749936,6.48E+09,9.81E+00,3.15E+11,11.49818369,9713988445,9.987397583,9.46E+09,9.98E+00,4.62E+11,11.66441725,12701855742,10.10386718,2.53E+10,1.04E+01,6.74E+13,13.82871015
A,1696,TRUE,14,Vancomycin,357199.58,5.55291094,200031.77,5.301098978,14287.98,4.154970834,9344341025,9.97054868,21174791130,10.32581914,9.84E+08,8.99E+00,1.38E+11,11.1391389,6648198592,9.822703984,6.89E+09,9.84E+00,1.83E+11,11.26150077,8277028678,9.91787446,1.82E+10,1.03E+01,3.00E+13,13.47719074
B,1697,TRUE,14,Vancomycin,589416.06,5.770421965,330072.99,5.518609987,23576.64,4.372481912,1575862774,9.197518396,14612802920,10.16473353,4.85E+09,9.69E+00,1.55E+11,11.19024483,5997897810,9.777999062,3.07E+09,9.49E+00,2.18E+11,11.33754312,2558065693,9.407911693,1.16E+10,1.01E+01,3.60E+13,13.55688961
