Mouse replicate,Mouse,timepoint after AB application,Day,Group,KB1,log10 KB1,YL2,log10 YL2,KB18,log10 KB18,YL27,log10 YL27,YL31,log10 YL31,YL32,log10 YL32,YL44,log10 YL44,YL45,log10 YL45,I46,log10 I46,I48,log10 I48,I49,log10 I49,YL58,log10 YL58,universal,log10 universal
D,1699,FALSE,58,Vancomycin,1108572.58,6.044764132,155045.12,5.190458101,11074.65,4.04433001,88597.21,4.947420046,10863125326,10.03595479,220164.07,5.34E+00,2.50E+11,11.3972846,14939704419,10.17434201,18882280233,1.03E+01,2.06E+11,11.31430972,2868334651,9.457629819,41851106744,1.06E+01,3.51E+13,13.54552606
A,1681,TRUE,63,water,221702842.7,8.345771262,299887.9,5.476958943,21420.56,4.33083082,42841129032,10.63186091,25661836290,10.40928773,21283472903,1.03E+01,1.33E+11,11.12385164,26497238306,10.42320061,21934658065,1.03E+01,5.13E+11,11.70977352,67710404435,1.08E+01,1.23E+11,1.11E+01,1.76E+14,14.2450164
C,1683,TRUE,63,water,42145632.51,7.624752576,181886.21,5.259799774,12991.87,4.113671666,51642690887,10.71300886,12392946626,10.09317458,5768391133,9.76E+00,85070777340,10.9297804,11037894384,10.04288623,3084270394,9.49E+00,3.51E+11,11.54487508,1756501084,9.244648422,16538652956,1.02E+01,7.52E+13,13.87642512
D,1684,TRUE,63,water,67039909.44,7.826333419,168381.55,5.226294503,12027.25,4.080166338,31511403433,10.49846775,22057982403,10.34356579,17559789700,1.02E+01,81304231760,10.91011315,16765990987,10.22442923,3999061695,9.60E+00,4.41E+11,11.64400309,1137417337,9.055919844,21961764378,1.03E+01,4.49E+13,13.65245715
A,1686,TRUE,63,Ciprofloxacin,112511094.6,8.05119535,255748.55,5.40781318,18267.75,4.26168506,44902138406,10.65226702,10390698261,10.01664473,6678690725,9.82E+00,81675126449,10.91208982,16157828080,10.20838298,8067040000,9.91E+00,3.80E+11,11.57933078,776927561.6,8.890380528,32041639855,1.05E+01,3.42E+13,13.53352676
B,1687,TRUE,63,Ciprofloxacin,65883832.84,7.818778857,231171.34,5.36393399,16512.24,4.217805992,55382048955,10.74336902,15133466866,10.17993843,13822395104,1.01E+01,1.11E+11,11.04459463,20458663881,10.31087727,5392897194,9.73E+00,3.88E+11,11.58850364,2496650507,9.397357752,26733314627,1.04E+01,8.19E+13,13.91346257
C,1688,TRUE,63,Ciprofloxacin,252720248.8,8.40264004,197768.78,5.296157734,14126.34,4.150029655,44455596585,10.64792644,25272024878,10.40264004,21161259512,1.03E+01,1.29E+11,11.11031019,31671257561,10.50066531,15920386829,1.02E+01,5.49E+11,11.73953279,3617756049,9.558439278,82441328780,1.09E+01,1.10E+14,14.04273692
D,1689,TRUE,63,Ciprofloxacin,112030126.2,8.049334825,417911.48,5.621084301,29850.82,4.474956266,1.43E+11,11.15420175,29880670492,10.47539034,37791137705,1.06E+01,1.72E+11,11.23454765,46835936066,10.6705792,8579125574,9.93E+00,8.54E+11,11.93132207,586270098.4,8.768097744,42507567213,1.06E+01,2.28E+14,14.35867518
A,1691,TRUE,63,Tetracyclin,279661534.1,8.446632736,282282.73,5.450684309,20163.05,4.304556227,51516598394,10.71194718,18251594859,10.26130082,4185849639,9.62E+00,1.72E+11,11.23540471,24094847390,10.38192418,12196630281,1.01E+01,4.31E+11,11.63436037,1207766827,9.081983097,44177247390,1.06E+01,8.00E+13,13.90290917
B,1692,TRUE,63,Tetracyclin,164375959.8,8.215838302,300818.75,5.478304902,21487.05,4.332176794,81887161161,10.91321582,41212168750,10.61502547,15522247500,1.02E+01,1.32E+11,11.1198495,37881675446,10.57842918,16491313616,1.02E+01,6.82E+11,11.83405747,1790945915,9.253082471,51783799107,1.07E+01,1.13E+14,14.05324367
C,1693,TRUE,63,Tetracyclin,86512486.24,7.937078793,317061.47,5.501143469,22647.25,4.355015474,40153570183,10.60372417,14908683165,10.17343929,11185475642,1.00E+01,1.32E+11,11.12120517,18654537936,10.2707845,9964788991,1.00E+01,4.93E+11,11.69267422,1472750518,9.168129184,30845551376,1.05E+01,1.02E+14,14.00976949
D,1694,TRUE,63,Tetracyclin,71407784.73,7.85374556,300935.88,5.478473971,21495.42,4.332345935,88604120611,10.94745392,37702966412,10.57637552,25923476336,1.04E+01,1.67E+11,11.22327004,42668408397,10.63010644,6895730687,9.84E+00,7.84E+11,11.89451987,976966832.1,8.98987982,25815999237,1.04E+01,1.96E+14,14.29253074
A,1696,TRUE,63,Vancomycin,682289.95,5.833968974,246568.38,5.391937382,17612.03,4.245809417,789723.31,5.897474957,29288801718,10.4667016,6586898282,9.82E+00,1.27E+11,11.1048284,19249946048,10.28442952,7419947182,9.87E+00,3.89E+11,11.5894145,2074696838,9.316954645,24762510653,1.04E+01,2.64E+13,13.42219081
B,1697,TRUE,63,Vancomycin,331377.34,5.520322807,163010.64,5.212215953,11643.62,4.066088023,93148.94,4.969177917,38959542553,10.59061385,4134648404,9.62E+00,1.13E+11,11.05317452,20318111702,10.30788334,13553170213,1.01E+01,4.39E+11,11.64277504,21598909574,10.33443183,58718760638,1.08E+01,8.05E+13,13.90575434
C,1698,TRUE,63,Vancomycin,424654.88,5.628036119,237806.73,5.376224141,16986.2,4.230096233,135889.56,5.133186092,33938418182,10.5306916,6755409865,9.83E+00,1.32E+11,11.12102116,25649154882,10.40907306,8014086936,9.90E+00,3.60E+11,11.55622649,2515655522,9.400651171,26719285185,1.04E+01,3.74E+13,13.57311075
D,1699,TRUE,63,Vancomycin,1112386.22,6.0462556,252446.22,5.402168872,18031.87,4.256040768,144254.98,5.159130815,16071807968,10.20606473,2252180876,9.35E+00,80836884462,10.90760957,11080585657,10.04456272,7203733068,9.86E+00,2.02E+11,11.30487166,1623229163,9.210379837,36785019920,1.06E+01,3.57E+13,13.55270593
A,1681,TRUE,67,water,105075238.2,8.021500383,165845.92,5.219704792,11846.14,4.073576861,40241328541,10.60467231,12035675536,10.08047047,6082991524,9.78E+00,1.06E+11,11.02569082,14926133047,10.17394731,5196900451,9.72E+00,3.99E+11,11.6013352,2184427725,9.33933768,23253967597,1.04E+01,6.89E+13,13.83849963
C,1683,TRUE,67,water,82876665.12,7.918432267,198235.66,5.297181781,14159.69,4.151053745,47831432558,10.67971339,15887172093,10.2010466,7864291783,9.90E+00,1.01E+11,11.00566518,16510198450,10.21775229,4984210853,9.70E+00,4.50E+11,11.65279732,2126785426,9.327723676,25161768992,1.04E+01,9.07E+13,13.95757281
D,1684,TRUE,67,water,81034895.45,7.908672076,177125.45,5.248280967,12651.82,4.102153004,57793505455,10.76187904,21115884545,10.32460928,14587546364,1.02E+01,1.05E+11,11.02055187,19230763636,10.28399653,4161183000,9.62E+00,4.93E+11,11.69254907,1422064364,9.152919253,27163453636,1.04E+01,1.18E+14,14.07231241
A,1686,TRUE,67,Ciprofloxacin,34907933.77,7.542924143,202197.38,5.305775524,14442.67,4.159647488,59099406283,10.77158312,13862074817,10.14182824,13407130707,1.01E+01,1.45E+11,11.16224469,31427250262,10.49730638,2666116911,9.43E+00,4.21E+11,11.62413662,782215015.7,8.893326149,12832312435,1.01E+01,1.10E+14,14.04091865
B,1687,TRUE,67,Ciprofloxacin,137883016.4,8.139510776,156685.25,5.195028115,11191.8,4.048899941,29591127869,10.47116152,18869380328,10.27575764,5694389508,9.76E+00,1.26E+11,11.10005333,26524573770,10.42364841,10537082787,1.00E+01,4.08E+11,11.61107404,40928424590,10.61202503,57939965574,1.08E+01,1.22E+14,14.08751877
C,1688,TRUE,67,Ciprofloxacin,54510769.23,7.736482311,147897.44,5.169960657,10564.1,4.023832504,36889846154,10.56690684,12529025641,10.0979173,5068656410,9.70E+00,1.16E+11,11.06601267,19004820513,10.27886377,3649897436,9.56E+00,3.05E+11,11.48382827,1845548718,9.266125514,18360410256,1.03E+01,7.34E+13,13.86575463
D,1689,TRUE,67,Ciprofloxacin,43967368.42,7.643130473,181042.11,5.257779603,12931.58,4.111651591,49631400000,10.69575653,13914378947,10.14346383,11070724737,1.00E+01,91503852632,10.96143938,19707726316,10.29463652,3402298421,9.53E+00,3.18E+11,11.50276295,1441871053,9.158926423,13888515789,1.01E+01,1.46E+13,13.16549658
A,1691,TRUE,67,Tetracyclin,383349452.6,8.583594847,280255.47,5.447554098,20018.25,4.301426109,38134762774,10.58132105,41277627.74,7.61571473,1297582.85,6.11E+00,1.05E+11,11.02298892,40036.5,4.602456104,16422970803,1.02E+01,7.02E+11,11.84636186,175880328.5,8.245217268,507262408.8,8.71E+00,5.22E+13,13.71756733
B,1692,TRUE,67,Tetracyclin,390426144.6,8.591538892,393518.07,5.59496468,28108.43,4.448836589,33027409639,10.51887451,99194662.65,7.996488305,3122846.99,6.49E+00,1.42E+11,11.15195485,11170291566,10.04806451,22267501205,1.03E+01,6.21E+11,11.79342506,769608915.7,8.88627009,905091566.3,8.96E+00,9.82E+13,13.9919111
C,1693,TRUE,67,Tetracyclin,542013207.6,8.734009869,210490.57,5.323232644,15035.04,4.177104588,44308264151,10.64648474,153958814,8.187404557,8691756.87,6.94E+00,1.33E+11,11.12478453,10492954717,10.0208978,22793121294,1.04E+01,7.40E+11,11.86898163,138878668.5,8.142635544,837602102.4,8.92E+00,1.31E+14,14.11806953
D,1694,TRUE,67,Tetracyclin,303151248.1,8.481659361,191348.85,5.281825856,13667.77,4.135697662,27841257545,10.44468885,25832094.63,7.412159623,1239257.15,6.09E+00,91724437596,10.96248506,1574527.67,6.197150297,11687314348,1.01E+01,4.59E+11,11.66216641,22606499.74,7.354233324,346068061.4,8.54E+00,7.07E+13,13.84960796
A,1696,TRUE,67,Vancomycin,2168304.24,6.336120219,131811.81,5.119954324,9415.13,3.973826321,75321.03,4.87691625,65265675.28,7.814684836,77128738.01,7.89E+00,96693376384,10.98539673,11081607011,10.04460274,181241236.2,8.26E+00,2.29E+11,11.36050443,11655929889,10.06654693,380747822.9,8.58E+00,3.40E+13,13.53109299
B,1697,TRUE,67,Vancomycin,1206121.33,6.081390998,221713.48,5.345792099,15836.68,4.199664141,126693.42,5.10275406,116288720.1,8.065537591,76697027.27,7.88E+00,1.14E+11,11.058741,14626754984,10.16514799,235174655.2,8.37E+00,5.45E+11,11.73660125,2337493542,9.36875042,384672887.2,8.59E+00,6.95E+13,13.84193044
C,1698,TRUE,67,Vancomycin,483921.64,5.684775043,259276.81,5.413763675,18519.77,4.267635589,148158.17,5.170725605,195568790.9,8.291299551,133286798.1,8.12E+00,1.37E+11,11.13745539,12817534106,10.10780448,391693174.9,8.59E+00,4.31E+11,11.63480463,2496465247,9.397325525,336689452.5,8.53E+00,7.01E+13,13.84570129
D,1699,TRUE,67,Vancomycin,1786212.69,6.25193317,182133.85,5.260390668,13009.56,4.114262608,104076.49,5.017352637,169644671.8,8.229540224,101435545,8.01E+00,1.24E+11,11.09262592,13438876227,10.12836295,310017832,8.49E+00,3.77E+11,11.57591145,3944498811,9.595991829,563704266.2,8.75E+00,5.64E+13,13.75155238
A,1681,FALSE,72,water,42676094.69,7.63018467,214992.92,5.332424158,15356.64,4.186296203,25015961947,10.39821721,14697837434,10.16725344,3932834779,9.59E+00,1.57E+11,11.19532113,18857950442,10.27549449,5520711062,9.74E+00,4.11E+11,11.61394431,5618993540,9.749658533,24202060177,1.04E+01,4.32E+13,13.63562045
C,1683,FALSE,72,water,65901029.81,7.818892201,209685.09,5.32156755,14977.51,4.175439618,52975441463,10.72407458,14574611843,10.163597,6670981518,9.82E+00,1.42E+11,11.15100804,16490234959,10.21722684,5167239837,9.71E+00,5.22E+11,11.71751739,3380423279,9.528971084,24982481301,1.04E+01,5.27E+13,13.72185841
D,1684,FALSE,72,water,98935573.58,7.995352476,313441.51,5.496156511,22388.68,4.350028489,61367369811,10.78793751,14395920755,10.15823945,6571077358,9.82E+00,1.46E+11,11.16554108,16621355472,10.22066644,7157660755,9.85E+00,4.64E+11,11.66641782,2525443019,9.402337574,30672490566,1.05E+01,3.94E+13,13.59578823
A,1686,FALSE,72,Ciprofloxacin,93546188.34,7.971026096,301345.29,5.479064408,21524.66,4.3329363,43049327354,10.63396637,11339192825,10.05458214,4599820628,9.66E+00,1.11E+11,11.04398282,20521614350,10.31221152,5710493274,9.76E+00,4.16E+11,11.61871838,2712107623,9.433306919,16978654709,1.02E+01,5.58E+13,13.74673926
B,1687,FALSE,72,Ciprofloxacin,108653992.5,8.036045689,496947.37,5.696310397,35496.24,4.550182352,77665774436,10.89022968,20768850376,10.31741246,7184439098,9.86E+00,1.98E+11,11.29774957,31879173684,10.50350706,7262530827,9.86E+00,5.63E+11,11.75075903,3188272331,9.50355541,25188132331,1.04E+01,8.94E+13,13.95123792
C,1688,FALSE,72,Ciprofloxacin,82753582.52,7.917786804,320572.82,5.505926698,22898.06,4.359798689,50558912621,10.70379772,11861194175,10.07412842,7918148544,9.90E+00,1.25E+11,11.09834256,22167610194,10.34571888,4597930097,9.66E+00,4.37E+11,11.64014938,717167184.5,8.855620409,17901701942,1.03E+01,5.43E+13,13.73454702
D,1689,FALSE,72,Ciprofloxacin,75678900,7.878974811,156200,5.19368103,11157.14,4.047552883,52393942857,10.71928108,11115861429,10.04594312,5531711429,9.74E+00,1.43E+11,11.15408298,13611714286,10.13391282,3617145714,9.56E+00,3.44E+11,11.53694838,4188391429,9.622047262,16958857143,1.02E+01,8.94E+13,13.95134821
A,1691,FALSE,72,Tetracyclin,194304351.8,8.288482528,162597.78,5.211114612,11614.13,4.064986683,20185353463,10.30503636,5027755762,9.701374172,3205499169,9.51E+00,1.07E+11,11.0307535,5014980222,9.700269225,6138066343,9.79E+00,1.93E+11,11.28483213,2048732078,9.311485167,16433990305,1.02E+01,4.61E+13,13.66355865
B,1692,FALSE,72,Tetracyclin,630965429,8.800005565,234372.94,5.369907468,16740.92,4.223779321,47544224422,10.67709777,9395006601,9.97289709,2442500825,9.39E+00,1.43E+11,11.15594908,25613613861,10.40847086,22851361386,1.04E+01,3.19E+11,11.50435803,19034430693,10.27953989,73760511551,1.09E+01,7.39E+13,13.86880837
C,1693,FALSE,72,Tetracyclin,272343170.5,8.435116489,232063.57,5.365606969,16575.97,4.219478952,41439922481,10.61741893,3729593023,9.571661444,2410145891,9.38E+00,1.32E+11,11.12164518,6497779845,9.812764993,11301495659,1.01E+01,3.05E+11,11.48382399,7996247442,9.902886225,27615564341,1.04E+01,6.34E+13,13.80176993
D,1694,FALSE,72,Tetracyclin,183287713,8.263133352,191066.86,5.281185366,13647.63,4.13505724,44873417751,10.65198915,2535730237,9.404103049,1682753166,9.23E+00,1.49E+11,11.17327953,7691806036,9.886028324,9077040799,9.96E+00,3.23E+11,11.50888913,7136347367,9.853475981,23528519527,1.04E+01,5.42E+13,13.73373879
A,1696,FALSE,72,Vancomycin,439948.3,5.643401644,195968.06,5.292185293,13997.72,4.146057302,111981.75,5.04914725,10942016654,10.03909737,451426.43,5.65E+00,1.55E+11,11.19020559,13913732319,10.14344364,5751662586,9.76E+00,1.64E+11,11.2146134,3220875057,9.507973878,17469152852,1.02E+01,3.45E+13,13.53752191
B,1697,FALSE,72,Vancomycin,369763.99,5.567924614,207067.83,5.316112632,14790.56,4.169984618,118324.48,5.073074605,12382656364,10.09281382,166837.51,5.22E+00,1.50E+11,11.17559298,15825898601,10.19936838,7447046678,9.87E+00,2.24E+11,11.34982321,5229941818,9.718496857,22599974825,1.04E+01,4.03E+13,13.60551083
C,1698,FALSE,72,Vancomycin,256583.89,5.409229385,143686.98,5.157417417,10263.36,4.011289563,82106.84,4.914379338,8981462318,9.953347052,128805.11,5.11E+00,1.16E+11,11.06398225,13896583223,10.14290803,4018103642,9.60E+00,1.52E+11,11.18213778,1768376137,9.247574646,6786130596,9.83E+00,2.40E+13,13.37957562
D,1699,FALSE,72,Vancomycin,556745.05,5.745656364,311777.23,5.493844394,22269.8,4.347716317,178158.42,5.250806352,8941325495,9.951401905,675220.4,5.83E+00,1.86E+11,11.26924668,30865945545,10.48947959,15564364604,1.02E+01,4.01E+11,11.60322992,4048650000,9.607310234,33716480198,1.05E+01,6.66E+13,13.82367763
A,1681,FALSE,79,water,51371411.91,7.710721502,165029.78,5.217562321,11787.84,4.071434232,50829171216,10.70611303,12436172457,10.09468674,5772505831,9.76E+00,1.74E+11,11.24022715,16550129032,10.21880138,2048726799,9.31E+00,4.77E+11,11.67824515,4387434491,9.642210645,11418881762,1.01E+01,9.73E+13,13.98815122
C,1683,FALSE,79,water,72040131.21,7.857574495,131855.38,5.120097855,9418.24,3.973969753,44859085495,10.65185042,9889153846,9.995159133,5160254659,9.71E+00,1.54E+11,11.18615647,11396072527,10.0567552,2494892242,9.40E+00,3.44E+11,11.53626292,4169455626,9.620079356,17338983077,1.02E+01,7.97E+13,13.90144306
D,1684,FALSE,79,water,47660046.09,7.678154458,297609.57,5.473646892,21257.83,4.32751893,43259676087,10.63608326,12882242609,10.10999147,5677965348,9.75E+00,1.72E+11,11.23525314,14064177739,10.14811435,1961247035,9.29E+00,4.01E+11,11.60329056,3084510565,9.489186262,11985162348,1.01E+01,7.51E+13,13.87590818
A,1686,FALSE,79,Ciprofloxacin,173453495.9,8.239183057,122334.96,5.087550584,8738.21,3.941422478,24030081301,10.38075524,10162539837,10.00700226,6121117073,9.79E+00,1.28E+11,11.10726086,14601551220,10.164399,3566064065,9.55E+00,4.21E+11,11.62419956,4678438374,9.670100913,15230702439,1.02E+01,6.87E+13,13.83723164
B,1687,FALSE,79,Ciprofloxacin,144793743.6,8.160749797,165343.59,5.218387363,11810.26,4.072259459,39044707692,10.59156218,7967198974,9.901305663,3730860000,9.57E+00,1.20E+11,11.07957917,11262260513,10.05162557,3096649231,9.49E+00,2.64E+11,11.42153647,4607181026,9.663435277,13959723077,1.01E+01,4.78E+13,13.67960685
C,1688,FALSE,79,Ciprofloxacin,202534420.3,8.306498841,177661.77,5.249593985,12690.13,4.103466071,46877327595,10.67096285,11398271696,10.056839,3933939241,9.59E+00,1.51E+11,11.17791724,14327152911,10.1561599,4204238937,9.62E+00,3.47E+11,11.54042333,3545621367,9.549692356,22563045063,1.04E+01,6.23E+13,13.79445877
D,1689,FALSE,79,Ciprofloxacin,151009916.1,8.179005466,177509.56,5.249221747,12679.25,4.103093565,45049389744,10.65368891,10852173566,10.03551673,5987143776,9.78E+00,1.49E+11,11.17276051,12920159907,10.11126789,3926764988,9.59E+00,3.49E+11,11.54321475,6274962844,9.797611159,18879409324,1.03E+01,6.81E+13,13.83323001
A,1691,FALSE,79,Tetracyclin,150711577.6,8.178146616,244123.81,5.387610139,17437.41,4.241481979,31491971429,10.49819985,11318626054,10.05379371,4538959116,9.66E+00,1.72E+11,11.2362399,11442431701,10.05851833,4460490748,9.65E+00,3.58E+11,11.5534473,1248693286,9.096455777,15268200544,1.02E+01,6.28E+13,13.79802603
B,1692,FALSE,79,Tetracyclin,86536251.61,7.937198079,159178.49,5.201884381,11369.89,4.055756263,40533666667,10.60781589,15713191398,10.1962644,4492244516,9.65E+00,1.70E+11,11.23068899,13905378495,10.14318281,4676436774,9.67E+00,3.46E+11,11.53934337,4364901720,9.63997447,18351006452,1.03E+01,6.34E+13,13.80207898
C,1693,FALSE,79,Tetracyclin,355578547.3,8.550935551,150168.92,5.176580057,10726.35,4.030451964,48633277027,10.68693353,21624324324,10.33494255,3895810811,9.59E+00,2.13E+11,11.32908654,18856925676,10.27547089,7749788851,9.89E+00,4.57E+11,11.66026957,933299831.1,8.970021187,32779729730,1.05E+01,6.50E+13,13.81306767
D,1694,FALSE,79,Tetracyclin,98900232.56,7.995197313,141286.05,5.150099284,10091.86,4.003971217,30537969767,10.48484016,13593736047,10.13333883,4326380581,9.64E+00,1.71E+11,11.23314085,12826754651,10.10811679,5448595465,9.74E+00,3.05E+11,11.48397791,3297010814,9.518120372,22091082558,1.03E+01,6.26E+13,13.79657295
A,1696,FALSE,79,Vancomycin,488812.07,5.689141921,147550,5.168939214,10539.29,4.022811355,115089,5.061033817,15461132143,10.18924129,5173735357,9.71E+00,1.90E+11,11.27953006,12668221429,10.10271565,2903573214,9.46E+00,2.76E+11,11.44111202,4266302857,9.630051682,13996171429,1.01E+01,6.05E+13,13.78157157
B,1697,FALSE,79,Vancomycin,237362.93,5.375412894,125636.33,5.099115242,8974.02,3.952987033,233504.1,5.368294511,8535194007,9.931213397,1898006027,9.28E+00,1.78E+11,11.25162119,12913620204,10.11104801,6164256927,9.79E+00,2.58E+11,11.4123799,8105338268,9.908771144,38346003565,1.06E+01,4.94E+13,13.69334963
C,1698,FALSE,79,Vancomycin,346043.26,5.539130395,193784.22,5.287318409,13841.73,4.141190374,110733.84,5.044280361,14340032570,10.15655014,8385320204,9.92E+00,2.20E+11,11.34340662,25330366412,10.40364147,1918463817,9.28E+00,3.40E+11,11.53088839,1796656590,9.254465075,9303026921,9.97E+00,6.80E+13,13.83236008
D,1699,FALSE,79,Vancomycin,311450.32,5.493388781,128926.8,5.110343203,9209.06,3.964215303,330236.79,5.518825454,5788813420,9.762589552,2967158262,9.47E+00,1.69E+11,11.22761422,12211209982,10.0867587,1336234214,9.13E+00,2.00E+11,11.3012753,2227670961,9.347851044,5584372348,9.75E+00,4.03E+13,13.60519296